company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
BYTECODE LABS LTD,13292658,ltd,25-03-2021,[66300],Suite Ff10 Brooklands House Lancing England BN15 8AF,3.5
PERBAK CAPITAL SERVICES LIMITED,13362845,ltd,28-04-2021,[66300],Centralis 25 Western Avenue Oxfordshire United Kingdom OX14 4SH,3.5
DUDOK GP1 LTD,15319336,ltd,30-11-2023,[66300],Fifth Floor London England W1W 5PF,3.5
SUPER TRADE FX LIMITED,16704985,ltd,09-09-2025,"[64301,64910, 66300]",16704985 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,3.5
HEIM GLOBAL INVESTOR UK LIMITED,15300277,ltd,21-11-2023,[66300],1st Floor London United Kingdom WC2N 5LR,3.5
RADIANT ASSET MANAGEMENT LIMITED,13497014,ltd,06-07-2021,[66300],Sovereign Place Market Harborough England LE16 7QU,3.5
FINSAI EXCHANGE LTD,15127859,ltd,10-09-2023,"[66110, 66300]","Suite 1-2,  Brookfield Court Selby Road Leeds England LS25 1NB",3.5
FINSAI TRADE LTD,15012987,ltd,19-07-2023,"[66110, 66300]","Suite 1-2,  Brookfield Court Selby Road Leeds England LS25 1NB",3.5
FIRST STEP COMMUNITY BEREAVEMENT LTD,11944539,private-limited-guarant-nsc,13-04-2019,"[66300, 94990]",International House Manchester M2 3HZ,3.5
LOH-GRONAGER PARTNERS LIMITED,13519621,ltd,20-07-2021,[66300],23 Berkeley Square Mayfair England W1J 6HE,3.5
GREYKITE INVESTMENT ADVISER LIMITED,15002285,ltd,13-07-2023,[66300],3 More London Riverside London England SE1 2AQ,3.5
QED PROPERTY MANAGEMENT LTD,14602680,ltd,18-01-2023,[66300],10 Orange Street Haymarket London United Kingdom WC2H 7DQ,3.5
MIDDLETON CAPITAL LIMITED,13558658,ltd,10-08-2021,[66300],Victoria Mill Stables Bakewell England DE45 1DA,3.5
SUCCESSION ESTATES LIMITED,13259114,ltd,11-03-2021,[66300],3 Garth Drive Chester England CH2 2AF,3.5
TRADOLOGY LIMITED,14895132,ltd,25-05-2023,[66300],Flat 3 443 Edgware Road London England W2 1TH,3.5
RWB WEALTH MANAGEMENT LIMITED,13500731,ltd,08-07-2021,[66300],Northgate House Nottingham England NG7 7BQ,3.5
WELWING CAPITAL (UK) LIMITED,13789810,ltd,08-12-2021,[66300],4th Floor Phoenix House Reading United Kingdom RG1 1NB,3.5
CATALIO CAPITAL UK LTD.,13482709,ltd,29-06-2021,[66300],3rd Floor 1 Ashley Road Altrincham United Kingdom WA14 2DT,3.5
QBS VENTURES LTD,13180057,ltd,04-02-2021,[66300],Waterloo House Norwich United Kingdom NR3 1EH,3.5
OXTAN CAPITAL LTD,14877724,ltd,18-05-2023,[66300],167-169 Great Portland Street London England W1W 5PF,3.5
KARALIUS LIMITED,13452700,ltd,11-06-2021,[66300],4th Floor Phoenix House Reading United Kingdom RG1 1NB,3.5
CAM WEALTH GROUP HOLDINGS LIMITED,13794323,ltd,10-12-2021,[66300],6th Floor The Plaza Liverpool England L3 9QJ,3.5
TRUE CONSTANT LTD,SC715215,ltd,16-11-2021,[66300],Hopton Fraserburgh Scotland AB43 7AN,3.5
DL INVESTMENTS HOLDING LIMITED,14825704,ltd,25-04-2023,"[66300, 68209]",39 High Street Orpington England BR6 0JE,3.5
APG PI SETTLEMENTS LIMITED,15093779,ltd,24-08-2023,[66300],29 York Street London United Kingdom W1H 1EZ,3.5
WESTHOUSE CAPITAL LIMITED,13770794,ltd,29-11-2021,[66300],Sidings House Sidings Court Doncaster England DN4 5NU,3.5
ENACT FOURTH PARTNER LIMITED,13337148,ltd,15-04-2021,[66300],Ground Floor Leeds England LS1 2HL,3.5
CARDIFF INTERCHANGE NOMINEECO LIMITED,14622920,ltd,27-01-2023,[66300],One Coleman Street London United Kingdom EC2R 5AA,3.5
CASTRUM PAY LTD,14577944,ltd,09-01-2023,[66300],284 Chase Road London United Kingdom N14 6HF,3.5
MOCCA CAPITAL LTD,14990750,ltd,10-07-2023,"[64921, 66300]",Grosvenor House Altrincham United Kingdom WA14 2QG,3.5
FIREDROP MANAGEMENT LTD,14669074,ltd,16-02-2023,[66300],39 Ladbroke Square London England W11 3ND,3.5
NESAZ TRADING LTD,13799639,ltd,14-12-2021,[66300],27 Pelham Road Beckenham United Kingdom BR3 4SQ,3.5
THANDI FAMILY HOLDINGS LTD,13114167,ltd,05-01-2021,[66300],21 Woodruff Way Walsall England WS5 4SR,3.5
ARN INVEST LTD,13145773,ltd,20-01-2021,[66300],"2nd Floor College House Ruislip,  United Kingdom HA4 7AE",3.5
ARBRA WEALTH MANAGEMENT LTD,14727710,ltd,14-03-2023,[66300],58 Grosvenor Street London England W1K 3JB,3.5
CHARLTON-MATTHEWS TRADING LTD,13141218,ltd,18-01-2021,[66300],"Flat 4 17,  Warrior Gardens St. Leonards-On-Sea United Kingdom TN37 6EB",3.5
BRIP0918 (DBC2) LIMITED,13679069,ltd,14-10-2021,[66300],Grafton House Towcester United Kingdom NN12 7LS,3.5
HUNTER POINT CAPITAL UK LTD,15282611,ltd,14-11-2023,[66300],78 York Street London United Kingdom W1H 1DP,3.5
JUNIPER ASSET MANAGEMENT LIMITED,15317972,ltd,29-11-2023,[66300],5 Wigmore Street London England W1U 1PB,3.5
SWILSY & SON LTD,13210616,ltd,18-02-2021,[66300],Priory Place Priory Road Colchester England CO5 0QE,3.5
ARCTOS UK IM LIMITED,14773310,ltd,31-03-2023,[66300],C/O Rsm Uk London United Kingdom EC4A 4AB,3.5
CYNANCE VENTURES LTD,14871322,ltd,16-05-2023,[66300],Westfield 15 Kiddarpore Ave. London United Kingdom NW3 7SF,3.5
WENTWORTH IM NO2 LIMITED,13273628,ltd,17-03-2021,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,3.5
INVESTIAN LIMITED,13241496,ltd,03-03-2021,[66300],23 Scholars Green Lane Lymm United Kingdom WA13 0QA,3.5
MOORS FAMILY INVESTMENT COMPANY LIMITED,13304139,ltd,30-03-2021,[66300],Devisdale House 45 Dunham Road Altrincham England WA14 4QG,3.5
CHLOEHARRY LTD,13811967,ltd,21-12-2021,[66300],34 High Street Prestbury Cheltenham United Kingdom GL52 3AU,3.5
ACORN GREEN SECURITIES LIMITED,15366212,ltd,21-12-2023,[66300],29 York Street London United Kingdom W1H 1EZ,3.5
CORNWALL GAMES CIC,14798368,private-limited-guarant-nsc,13-04-2023,"[66300,82301,85600, 94110]",1 Broadclose Court Bude England EX23 8DR,3.5
CHD HOLDINGS LIMITED,13703692,ltd,26-10-2021,[66300],Home Mead Farm Wantage England OX12 8SQ,3.5
CORINTHIA UK MANAGEMENT LIMITED,15368135,ltd,22-12-2023,[66300],"Sixth Floor,  33 Cavendish Square London England W1G 0PW",3.5
TRADESTORMER CORP LTD,16374396,ltd,08-04-2025,"[66110, 66300]",110 Bishopsgate London England EC2N 4AY,3.5
BAR APG SCHEME CORPORATE TRUSTEE LIMITED,10741386,private-limited-guarant-nsc,26-04-2017,[66300],Tangent House Watford United Kingdom WD18 0TG,3.5
NEP CAPITAL LTD,14960691,ltd,26-06-2023,[66300],71-75 Shelton Street London WC2H 9JQ,3.5
FTMOSERVICES CORP LTD,16293796,ltd,05-03-2025,"[66110, 66300]",The Leadenhall Building London England EC3V 4AB,3.5
AAKGLOBALINVESTMENTS LIMITED,16304203,ltd,10-03-2025,"[64304,66110, 66300]",294 Malden Way New Malden England KT3 5QR,3.5
STOREBRAND ASSET MANAGEMENT UK LTD,14734422,ltd,16-03-2023,[66300],Fifth Floor London United Kingdom EC2R 5BN,3.5
TALAY CAPITAL ADVISORY LIMITED,16353871,ltd,31-03-2025,"[64991, 66300]","The Scalpel,  18th Floor London United Kingdom EC3M 7AF",3.5
OWN A HOUSE COMPANY LTD,16360593,ltd,02-04-2025,"[66300, 68100]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
BRISTOL STRATEGIC NO1 LIMITED,14892488,ltd,24-05-2023,[66300],29 York Street London England W1H 1EZ,3.5
RAVEN HILL ACADEMY LTD,13340472,ltd,16-04-2021,[66300],Bartle House Manchester England M2 3WQ,3.5
HOOPP THAMES LIMITED,14888063,ltd,23-05-2023,[66300],1 Eagle Place London United Kingdom SW1Y 6AF,3.5
WAAFR LTD,13163063,private-limited-guarant-nsc,27-01-2021,"[66300, 85600]",Unit 4 Wellesley Court London England NW2 7HF,3.5
LAFAYETTE RE MANAGEMENT UK LTD,15212351,ltd,16-10-2023,[66300],Two Kingdom Street London England W2 6BD,3.5
GWA ASSET MANAGEMENT LTD,13214974,ltd,22-02-2021,[66300],17 Walkergate Berwick Upon Tweed United Kingdom TD15 1DJ,3.5
KNN FAMILY HOLDINGS LTD,16475785,ltd,27-05-2025,"[64209,66300, 70100]",84a Nightingale Road Guildford England GU1 1EP,3.5
GARUDA INVESTAMA LTD,16343439,ltd,26-03-2025,"[64301,64304, 66300]",8b Lorraine Park Harrow England HA3 6BX,3.5
CRYPTO WALLET LTD,SC698004,ltd,07-05-2021,[66300],1 Cambuslang Court Glasgow United Kingdom G32 8FH,3.5
INNAGREEN LIMITED,13338057,ltd,15-04-2021,[66300],"Beaufort Court,  Egg Farm Lane Kings Langley United Kingdom WD4 8LR",3.5
INNAGREEN MANAGEMENT LIMITED,13419219,ltd,25-05-2021,[66300],"Beaufort Court,  Egg Farm Lane Kings Langley United Kingdom WD4 8LR",3.5
BRONEX LTD,16868500,ltd,21-11-2025,"[62012, 66300]","Dept 5831,  196 High Road London United Kingdom N22 8HH",3.5
EZEANYA INVESTMENTS LTD,16883564,ltd,01-12-2025,"[64991, 66300]",124 City  Road London United Kingdom EC1V 2NX,3.5
THEPREZI LTD,16897249,ltd,08-12-2025,"[66290, 66300]",128 City Road London United Kingdom EC1V 2NX,3.5
BASTENBURGH CAPITAL LIMITED,14905378,ltd,31-05-2023,[66300],5th Floor 167-169 Great Portland Street London England W1W 5PF,3.5
