company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
SPARK TMT (GP) LIMITED,10770066,active,ltd,,15-05-2017,15-05-2017,[66300],Suite 6c The Plaza Suite 6c The Plaza Liverpool England L3 9QJ,name pattern: GP entity
SIBNER INVESTMENT MANAGEMENT GP LTD,16021873,active,ltd,,16-10-2024,16-10-2024,[66300],43 Kelvedon Road London United Kingdom SW6 5BP,name pattern: GP entity
DYNAMIC HORIZON INVESTMENTS LIMITED,16118924,active,ltd,,04-12-2024,04-12-2024,[66300],8 The Cloisters Welwyn Garden City England AL8 6DX,only SIC 66300 + incorporated 2024 or later
OTI CAPITAL LTD,16120127,active,ltd,,05-12-2024,05-12-2024,[66300],Albany House Claremont Lane Surrey United Kingdom KT10 9FQ,only SIC 66300 + incorporated 2024 or later
SUPPORTING ALTERNATIVE FINANCE FOR ENTREPRENEURS MANAGEMENT COMPANY LTD,16108301,active,ltd,,28-11-2024,28-11-2024,[66300],Oriel House Richmond England TW9 1DL,only SIC 66300 + incorporated 2024 or later
THORNVALE CAPITAL LTD,15657973,active,ltd,,18-04-2024,18-04-2024,[66300],"6th Floor,  9 Argyll Street London England W1F 7TG",only SIC 66300 + incorporated 2024 or later
SBZ SUPPLY AND TRADING LTD,16079245,active,ltd,,14-11-2024,14-11-2024,[66300],Unit 13 Kendall Court Wickford England SS11 8YB,only SIC 66300 + incorporated 2024 or later
MERCIA FUND 1 GENERAL PARTNER LIMITED,03676974,active,ltd,,01-12-1998,01-12-1998,"[64303, 66300]",Forward House Henley-In-Arden B95 5AA,name pattern: numbered fund vehicle
BCCIM GP LIMITED,13334845,active,ltd,,14-04-2021,14-04-2021,[66300],Grafton House Towcester United Kingdom NN12 7LS,name pattern: GP entity
VESPA CAPITAL III GP 2 LTD,12355626,active,ltd,,09-12-2019,09-12-2019,[66300],3 St. James's Square London England SW1Y 4JU,name pattern: GP entity
MAMHEAD CAPITAL LTD,16130476,active,ltd,,11-12-2024,11-12-2024,[66300],3 The Quadrant Richmond England TW9 1BP,only SIC 66300 + incorporated 2024 or later
REZONATE CONNECT LTD,16130506,active,ltd,,11-12-2024,11-12-2024,[66300],Lifford Hall Lifford Lane Birmingham United Kingdom B30 3JN,only SIC 66300 + incorporated 2024 or later
TRIPLE B CAPITAL LTD,16130845,active,ltd,,11-12-2024,11-12-2024,[66300],"1st Floor,  Spitalfields House Borehamwood England WD6 2FX",only SIC 66300 + incorporated 2024 or later
FAIRTREE HOTELS MIDCO LIMITED,13702009,active,ltd,,25-10-2021,25-10-2021,[66300],2nd Floor 10 Bridge Street Bath United Kingdom BA2 4AS,name pattern: midco
FYI MICROLOAN GP LIMITED,13705142,active,ltd,,26-10-2021,26-10-2021,[66300],First Floor Linea House Fleet England GU51 2UZ,name pattern: GP entity
DAYINSURE HOLDCO LIMITED,13147414,active,ltd,,20-01-2021,20-01-2021,[66300],Mara House Tarporley England CW6 9UY,name pattern: holdco
NAHIF TRUSTEE LTD,16050865,active,ltd,,30-10-2024,30-10-2024,[66300],Eagle House 50 Marshall Street London England W1F 9BQ,only SIC 66300 + incorporated 2024 or later
SAKURA SINGS,16025824,active,private-unlimited,,17-10-2024,17-10-2024,[66300],Staverton Court Cheltenham GL51 0UX,only SIC 66300 + incorporated 2024 or later
SYNDICATE SPORTS MANAGEMENT LTD,16180109,active,ltd,,13-01-2025,13-01-2025,[66300],"1st Floor,  Spitalfields House Borehamwood England WD6 2FX",only SIC 66300 + incorporated 2024 or later
BEACON CAPITAL GP LIMITED,13146875,active,ltd,,20-01-2021,20-01-2021,[66300],C/O Blick Rothenberg London United Kingdom null,name pattern: GP entity
CENKOS NOMINEE UK LIMITED,05380974,active,ltd,,02-03-2005,02-03-2005,[66300],1 Bartholomew Close London England EC1A 7BL,name pattern: nominee entity
JMRC65 LIMITED,16157809,active,ltd,,31-12-2024,31-12-2024,[66300],5 The Grange Lymington England SO41 0ZR,only SIC 66300 + incorporated 2024 or later
ANTICG I GP LIMITED,13822992,active,ltd,,30-12-2021,30-12-2021,[66300],Censeo House St. Albans England AL1 3LF,name pattern: GP entity
JFKAPITAL LTD,16104942,active,ltd,,27-11-2024,27-11-2024,[66300],Unit A5 Quarry Park Old Milverton Lane Leamington Spa England CV32 6RW,only SIC 66300 + incorporated 2024 or later
BGF4 (NOMINEE) LIMITED,12465481,active,ltd,,15-02-2020,15-02-2020,[66300],Grafton House Towcester United Kingdom NN12 7LS,name pattern: nominee entity
MOMENTUM INVESTMENT MANAGEMENT LIMITED,16138196,active,ltd,,16-12-2024,16-12-2024,[66300],124 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
SARAS CAPITAL II GP LIMITED,15360510,active,ltd,,19-12-2023,19-12-2023,[66300],27 New Dover Road Canterbury England CT1 3DN,name pattern: GP entity
APPIAN BASE METALS MANAGEMENT LIMITED,16142415,active,ltd,,18-12-2024,18-12-2024,[66300],Level 5 45 Pall Mall London United Kingdom SW1Y 5JG,only SIC 66300 + incorporated 2024 or later
MAYFAIR EQUITY PARTNERS NOMINEES LIMITED,09519730,active,ltd,,31-03-2015,31-03-2015,[66300],8 Hanover Street London W1S 1YQ,name pattern: nominee entity
SKIESFIFTY ASSET MANAGEMENT (UK) LIMITED,15631329,active,ltd,,09-04-2024,09-04-2024,[66300],86-87 Campden Street London England W8 7EN,only SIC 66300 + incorporated 2024 or later
RAYAN A&P SERVICES LIMITED,16204182,active,ltd,,23-01-2025,23-01-2025,[66300],50 Vincent Gardens London England NW2 7RP,only SIC 66300 + incorporated 2024 or later
WUD CAPITAL LTD,15411696,active,ltd,,15-01-2024,15-01-2024,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
EMARI LTD,15561894,active,ltd,,14-03-2024,14-03-2024,[66300],364-368 Cranbrook Road Ilford England IG2 6HY,only SIC 66300 + incorporated 2024 or later
LVP OPPORTUNITY (TRUSTEE) II LIMITED,16237706,active,ltd,,07-02-2025,07-02-2025,[66300],25 Eccleston Place London England SW1W 9NF,name pattern: roman-numeral fund series suffix
3I AURA GP (2022) LIMITED,14097808,active,ltd,,10-05-2022,10-05-2022,"[64205, 66300]",1 Knightsbridge London United Kingdom SW1X 7LX,name pattern: GP entity
3I EUROPEAN MID-MARKET INFRASTRUCTURE GP (2024) LIMITED,16061340,active,ltd,,05-11-2024,05-11-2024,"[64205, 66300]",1 Knightsbridge London United Kingdom SW1X 7LX,name pattern: GP entity
MAUNBY NOMINEES LTD,01985459,active,ltd,,04-02-1986,04-02-1986,[66300],30 Market Place West Ripon England HG4 1BN,name pattern: nominee entity
GORE STREET INTERNATIONAL LIMITED,15424403,active,ltd,,18-01-2024,18-01-2024,[66300],First Floor London United Kingdom W1W 8BP,only SIC 66300 + incorporated 2024 or later
SYCAMORE GAP MANAGEMENT LTD,15475843,active,ltd,,09-02-2024,09-02-2024,[66300],31 Walton Street London England SW3 2HU,only SIC 66300 + incorporated 2024 or later
ADVICE ECOSYSTEM TECHNOLOGIES LIMITED,15564560,active,ltd,,15-03-2024,15-03-2024,[66300],10th Floor 135 Bishopsgate London United Kingdom EC2M 3TP,only SIC 66300 + incorporated 2024 or later
APG PI NO6 LIMITED,16270427,active,ltd,,24-02-2025,24-02-2025,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
