company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
ROYAL LONDON ASSET MANAGEMENT LIMITED,02244297,ltd,14-04-1988,"[66290, 66300]",80 Fenchurch Street London United Kingdom EC3M 4BY,11.0
MOMENTUM INVESTING LTD,09121989,ltd,08-07-2014,"[66210,66220,66290, 66300]",84 High Street London England NW10 4SJ,11.0
(CGN) CAPITAL GROWTH NETWORK LTD,09041461,ltd,15-05-2014,"[64303,64304,64929, 66300]",167 Gloucester Terrace London W2 6DX,11.0
CAPITAL FINANCE AND INVESTMENT MANAGEMENT LIMITED,06756876,ltd,24-11-2008,"[66300, 68100]",Pyramid House London England N12 9RT,11.0
YFT CONSULT LTD,10031322,ltd,29-02-2016,"[66300,70229,90020, 90030]",57 Greens Valley Drive Stockton-On-Tees England TS18 5QH,11.0
THE HOUSEHOLD CAVALRY FOUNDATION,08236363,private-limited-guarant-nsc-limited-exemption,02-10-2012,"[63110,66300, 82990]",Horse Guards Household Cavalry Foundation London SW1A 2AX,11.0
ORIGIN INVEST LIMITED,07091807,ltd,01-12-2009,"[66300, 74901]",Floor 2 Berkeley Square House Berkeley Square London W1J 6BD,11.0
FAIRWAY CAPITAL LTD,10134142,ltd,19-04-2016,"[66300,68100,68320, 70229]",21-23 Ives Street Chelsea United Kingdom SW3 2ND,11.0
LEASEFIN LIMITED,01370470,ltd,25-05-1978,"[66300, 77330]",97 Southover London N12 7HG,11.0
T. BAILEY ASSET MANAGEMENT LIMITED,03720372,ltd,25-02-1999,"[64302,64304, 66300]",Toll Bar House Landmere Lane Nottingham England NG12 4DG,11.0
F.M.I. BANQUE LTD,11523211,ltd,17-08-2018,"[64303,64999,66300, 70221]",85 Great Portland Street London United Kingdom W1W 7LT,11.0
COMMITTED CAPITAL FINANCIAL SERVICES LIMITED,03810820,ltd,21-07-1999,"[64303, 66300]",148-150 Buckingham Palace Road London England SW1W 9TR,11.0
THE ECU GROUP PUBLIC LIMITED COMPANY,02296619,plc,14-09-1988,[66300],17 Shirwell Crescent Milton Keynes England MK4 1GA,11.0
CETEX.ONLINE LTD,11130034,ltd,02-01-2018,"[64301,64303,66190, 66300]",10 Upper Bank Street London England E14 5GH,11.0
BIG ISSUE INVEST LIMITED,04764982,ltd,14-05-2003,"[64929, 66300]",113-115 Fonthill Road London England N4 3HH,11.0
CHURCHILL INVESTMENTS PLC,03125227,plc,13-11-1995,[66300],9 Woodborough Road Winscombe BS25 1AB,11.0
SOFTPOINT LICENCING LTD,04228348,ltd,04-06-2001,"[62011,62012, 66300]",Unit 5 Mosley Business Park Burton On Trent DE14 1DW,11.0
CANYON CAPITAL ADVISORS (EUROPE) LIMITED,05886261,ltd,25-07-2006,"[66120, 66300]","Suite 1,  7th Floor 50 Broadway London United Kingdom SW1H 0BL",11.0
BESTPORT PRIVATE EQUITY LIMITED,11234307,ltd,05-03-2018,"[64303,64999,66190, 66300]",42 Upper Berkeley St London United Kingdom W1H 5QL,11.0
NEW AGE CONSULT (RESIDENTIAL) LIMITED,06103547,ltd,14-02-2007,"[63990,66300, 71111]",C/O Incorporate Online Ltd Suite 3 Newbury Park United Kingdom IG2 7HU,11.0
CLEARANCE CAPITAL LIMITED,06760235,ltd,27-11-2008,"[64205, 66300]",3 Copthall Avenue London England EC2R 7BH,11.0
SPRING CAPITAL PARTNERS LIMITED,06310222,ltd,11-07-2007,"[64302, 66300]",Basildon House London England EC2R 6AF,11.0
BLACK RIVER CAPITAL LTD,11254392,ltd,14-03-2018,"[43290,43999,64999, 66300]",111b 111b Bishops Way London United Kingdom E2 9HL,11.0
BARRHILL COMMUNITY INTEREST COMPANY,SC348907,private-limited-guarant-nsc,22-09-2008,"[66300,82990, 94990]",Memorial Hall Main Street Girvan Scotland KA26 0PP,11.0
MADARA CAPITAL MANAGEMENT LTD,10425704,ltd,13-10-2016,"[64999,66300, 70221]","39th Floor,  One Canada Square London England E14 5AB",11.0
HASMA CAPITAL ADVISORS (UK) LIMITED,06242054,ltd,09-05-2007,"[64303, 66300]",23 Hill Street London England W1J 5JW,11.0
INVESTRIUM LIMITED,10491728,ltd,22-11-2016,"[64205,64999,66300, 70221]",15 Siskin Avenue Dalton-In-Furness England LA15 8QB,11.0
HEARTHSTONE INVESTMENTS LIMITED,06379066,ltd,24-09-2007,"[66300, 70100]","Suite 2.06,  Bridge House 181 Queen Victoria Street London United Kingdom EC4V 4EG",11.0
COUNSELOR SERVICE HOLDING LTD,11158428,ltd,19-01-2018,"[64205,64301,66300, 70229]",20-22 Wenlock Road London England N1 7GU,11.0
CENKOS SECURITIES (TRUSTEES) LIMITED,05780209,ltd,13-04-2006,"[66110, 66300]",1 Bartholomew Close London England EC1A 7BL,11.0
LAGUNA INTERNATIONAL BUSINESS CONSULTING LIMITED,12145682,ltd,08-08-2019,"[64999,66300,68320, 70229]",Kemp House London United Kingdom EC1V 2NX,10.5
EHG & G PLANNING LTD,10971078,ltd,19-09-2017,"[64305,64999,66300, 70221]",60 Hilltop Lane Caterham England CR3 5BG,10.5
VARNA CONSULTANCY LTD,10600992,ltd,06-02-2017,"[64999,66300, 82990]",Flat 3 St Floor London England WC1N 1AP,10.5
EVLEN  CAPITAL  INVESTMENTS LTD,12272000,ltd,21-10-2019,"[64301,64304,64999, 66300]",20-22 Wenlock Road London England N1 7GU,10.5
ALPHA QUANTS LIMITED,09395881,ltd,19-01-2015,"[62012,66300,72190, 74909]",115 Hampstead Road London England NW1 3EE,10.5
SALORIA ECO BUSINESS LTD,08815861,ltd,16-12-2013,"[43999,66300, 74909]",Unit 27 Cygnus Business Centre London England NW10 2XA,10.5
ENCRYPTICON LTD,11770092,ltd,16-01-2019,"[62012,63110,66300, 70221]",20-22 Wenlock Road London England N1 7GU,10.5
HALLMARK ASSETS MANAGEMENT LIMITED,12234241,ltd,30-09-2019,"[65300,66300,70221, 82990]",31 Belson Road London England SE18 5PU,10.5
LADHAM PROPERTIES LIMITED,07544227,ltd,28-02-2011,"[66300,68100, 68209]",Hill View House Cranbrook TN17 3AD,10.5
MD SOLUTION GROUP LIMITED,10746006,ltd,28-04-2017,"[64999,66190,66300, 68100]",Suite 1 Mease Croft Birmingham B9 4PW,10.5
RISKSAVE TECHNOLOGIES LTD,09930262,ltd,29-12-2015,"[66300, 70229]",2 Eastbourne Terrace London England W2 6LG,10.5
9912085 LTD,09912085,ltd,10-12-2015,"[24100,66300, 70221]","C/O Specialist Mobility Training Ltd,  Unit 6 Leamington Spa England CV31 3RG",10.5
CROWNGLOBAL CAPITAL UK LIMITED,12206004,ltd,13-09-2019,"[64191,64304,66190, 66300]",3 Portnall Road London United Kingdom W9 3BA,10.5
BUTWHO ENTERTAINMENT GROUP LTD,11987148,ltd,09-05-2019,"[59200,64306,66300, 70229]",1st Floor 124 Cleveland Street London United Kingdom W1T 6PG,10.5
BLINNIO PARTNERS LTD,10841882,ltd,29-06-2017,"[66300,68320, 70229]",19 Ellington House Ashmore Road London England SE18 4AS,10.5
EDUARD TRANSPORT SERVICES LTD,10690786,ltd,27-03-2017,"[49410,52290,66300, 70229]",11 Parrys Grove Bristol England BS9 1TT,10.5
SILICON SILK LTD,12039590,ltd,07-06-2019,"[62012,64205,64999, 66300]",128 City Road London England EC1V 2NX,10.5
CRAGG ESTATE MANAGEMENT LTD,07814071,ltd,18-10-2011,"[66300, 68320]",85 Percy Road London W12 9QH,10.5
GROSVENOR SERVICE SOLUTIONS LIMITED,09601954,ltd,20-05-2015,"[64303,66300, 82990]",3 Bronte View Gravesend England DA12 1PX,10.5
ZEUSS CHILDCARE LIMITED,09915813,ltd,14-12-2015,"[64999, 66300]",33 Charterhouse Street London United Kingdom EC1M 6HA,10.5
EVOLUTIS CAPITAL LTD,07591020,ltd,05-04-2011,"[66300, 74909]",58 Marryat Road London England SW19 5BD,10.5
REALIZE.VC LIMITED,10693224,ltd,28-03-2017,"[64303,66300,70221, 70229]",66 Shelburne Road High Wycombe England HP12 3NQ,10.5
SEAWEST INDUSTRIES LTD,07839691,ltd,08-11-2011,"[64202, 66300]",Flat 4 Redcliffe Gardens 52 London England SW10 9HB,10.5
CITYSTONE ALLIANCE GROUP LTD,12169223,ltd,22-08-2019,"[66190,66300,69109, 70221]","4th Floor,  18 St. Cross Street London England EC1N 8UN",10.5
J.E.DEVEREUX LTD,SC454393,ltd,12-07-2013,"[45190,64304,66300, 68209]",1 Campview Edinburgh Scotland EH22 1QD,10.5
GTF INVESTMENT GROUP LIMITED,12048963,ltd,13-06-2019,"[66300,70221,74909, 82990]",27 Old Gloucester Street London United Kingdom WC1N 3AX,10.5
CBA CAPITAL PARTNERS LTD,11862974,ltd,05-03-2019,"[66300,70221,70229, 74909]","95 Mortimer Street,  Suite 26 London United Kingdom W1W 7GB",10.5
GULFCAP GROUP LIMITED,11102374,ltd,07-12-2017,"[64999,66190,66300, 70221]",23a Kenilworth Gardens Hayes UB4 0AY,10.5
PEAR TREE PARTNERSHIP LTD,08424007,ltd,28-02-2013,"[58110,66300,68320, 70210]",Fulwood Godalming GU7 1QF,10.5
REVOLUX CAPITAL LTD,08714253,ltd,02-10-2013,"[41100,66300, 68310]",7 Bell Yard London England WC2A 2JR,10.5
ANTERRA LIMITED,07953000,ltd,16-02-2012,"[64209, 66300]",7-8 Ritz Parade London W5 3RA,10.0
BAOBAB INVESTMENT MANAGERS LTD,07456530,ltd,01-12-2010,[66300],Leytonstone House London England E11 1GA,10.0
AUTONOMY SERVICE COMPANY LIMITED,04607476,ltd,03-12-2002,[66300],9 Appold Street London England EC2A 2AP,10.0
BALYASNY INTERNATIONAL ASSET MANAGEMENT LIMITED,05147664,ltd,08-06-2004,[66300],23 King Street London England SW1Y 6QY,10.0
MULVANEY CAPITAL MANAGEMENT LIMITED,03734035,ltd,17-03-1999,[66300],5th Floor 3 Moorgate Place London England EC2R 6EA,10.0
AZINI 3 (GENERAL PARTNER) LIMITED,04000835,ltd,19-05-2000,[66300],32 Maple Street London W1T 6HB,10.0
NAPIER PARK GLOBAL CAPITAL LTD,07480435,ltd,31-12-2010,[66300],5 Hanover Square London England W1S 1HE,10.0
THREE BODY CAPITAL LIMITED,11642880,ltd,25-10-2018,"[62012,66190, 66300]",30 Churchill Place London England E14 5RE,10.0
J ROTHSCHILD CAPITAL MANAGEMENT LIMITED,02201053,ltd,01-12-1987,[66300],27 St. James's Place London SW1A 1NR,10.0
PALATIUM INVESTMENT MANAGEMENT LIMITED,05455959,ltd,18-05-2005,[66300],6th Floor Kings House London England SW1Y 4BP,10.0
OAK HILL ADVISORS (U.K. SERVICES) LIMITED,05477617,ltd,10-06-2005,[66300],45 Pall Mall London SW1Y 5JG,10.0
LK ADVISERS LIMITED,04310198,ltd,24-10-2001,[66300],"Berkeley Square House,  Fifth Floor London United Kingdom W1J 6BY",10.0
FYRESQUARE CAPITAL LIMITED,07284517,ltd,15-06-2010,[66300],2 St. James's Street London England SW1A 1EF,10.0
GAM STERLING MANAGEMENT LIMITED,01750352,ltd,06-09-1983,[66300],8 Finsbury Circus London England EC2M 7GB,10.0
GAM LONDON LIMITED,00874802,ltd,24-03-1966,[66300],8 Finsbury Circus London England EC2M 7GB,10.0
HAMILTON LANE (UK) LIMITED,04507221,ltd,08-08-2002,[66300],"10 Bressenden Place,  4th Floor London United Kingdom SW1E 5DH",10.0
EVEREST INVESTMENTS MANAGEMENT LIMITED,06756975,ltd,24-11-2008,[66300],Pyramid House London England N12 9RT,10.0
PRAGMA WEALTH MANAGEMENT LTD.,04191349,ltd,30-03-2001,[66300],"The Scalpel,  18th Floor London United Kingdom EC3M 7AF",10.0
LONGVIEW PARTNERS (UK) LIMITED,04170481,ltd,01-03-2001,[66300],Savoystrand London England WC2R 0AA,10.0
RESOLUTION PROPERTY FM LIMITED,04446371,ltd,23-05-2002,[66300],7 Heddon Street London England W1B 4BD,10.0
HERACLES CAPITAL LTD,12973217,ltd,26-10-2020,"[62020,66300,70221, 70229]",1 Lindfield Gardens London England NW3 6PX,10.0
INFINITY INVESTMENT PROJECTS LTD,12660982,ltd,10-06-2020,"[62020,66300,70229, 78300]",49 Foxbourne Road London United Kingdom SW17 8AS,10.0
WORLDINVEST MANAGEMENT LTD.,06950394,ltd,02-07-2009,[66300],Southwest House London England SW1Y 4LR,10.0
MITSUBISHI UFJ ASSET MANAGEMENT (UK) LTD.,01842259,ltd,20-08-1984,[66300],24 Lombard Street London EC3V 9AJ,10.0
THOMPSON TARAZ MANAGERS LIMITED,04482509,ltd,10-07-2002,[66300],"C/O Thompson Taraz Llp 4th Floor,  Stanhope House London England W1K 1PR",10.0
PRIMARY CAPITAL LIMITED,02924207,ltd,29-04-1994,[66300],Augustine House London EC2N 2HA,10.0
MAYFAIR SPORTS VENTURES LTD,12455157,ltd,11-02-2020,"[66300,70229,93110, 93199]",71-75 Shelton Street London England WC2H 9JQ,10.0
CHELTON CAPITAL LIMITED,11493173,ltd,31-07-2018,"[64301,64999, 66300]",128 City Road London United Kingdom EC1V 2NX,10.0
SAMENA CAPITAL LIMITED,06526886,ltd,07-03-2008,[66300],14 Hanover Square Office 2.15b London United Kingdom W1S 1HN,10.0
PROSPERITY CAPITAL MANAGEMENT (UK) LIMITED,04959887,ltd,11-11-2003,[66300],3rd Floor 207 Regent Street London United Kingdom W1B 3HH,10.0
HEDGE FUNDS LIMITED,03591243,ltd,01-07-1998,[66300],30 Crown Place London England EC2A 4EB,10.0
PIMCO EUROPE LTD,02604517,ltd,24-04-1991,[66300],11 Baker Street London W1U 3AH,10.0
PORTLAND INVESTMENTS (AM) LIMITED,07427829,ltd,03-11-2010,"[66300, 68209]",Portland House Durham England DH1 4QP,10.0
ALTUS INVESTMENT MANAGEMENT LIMITED,04940982,ltd,22-10-2003,[66300],24 Grosvenor Street London England W1K 4QN,10.0
PRADERA LIMITED,03786152,ltd,10-06-1999,[66300],3rd Floor 345 Oxford Street London England W1C 2JD,10.0
POINT ONE GLOBAL INVESTMENT LIMITED,11489860,ltd,30-07-2018,"[66110,66120,66190, 66300]",88 Sycamore Avenue Peterborough United Kingdom PE1 4JU,10.0
LINGA UK LIMITED,05374629,ltd,24-02-2005,[66300],70 Great Arthur House Fann Street City Of London EC1Y 0RQ,10.0
HEDGE FUNDS INVESTMENT MANAGEMENT LIMITED,03591241,ltd,01-07-1998,[66300],30 Crown Place London EC2A 4ES,10.0
FAIRHOLME MANAGEMENT LIMITED,00698486,ltd,17-07-1961,[66300],58 Suite 8 London United Kingdom NW8 6AG,10.0
RREEF EUROPEAN VALUE ADDED I (G.P.) LIMITED,05869878,ltd,07-07-2006,[66300],21 Moorfields London United Kingdom EC2Y 9DB,10.0
SHORE CAPITAL LIMITED,03841076,ltd,09-09-1999,[66300],Cassini House London England SW1A 1LD,10.0
NINETY ONE UK LIMITED,02036094,ltd,10-07-1986,[66300],55 Gresham Street London England EC2V 7EL,10.0
POLUNIN CAPITAL PARTNERS LIMITED,04132122,ltd,28-12-2000,[66300],10 Cavalry Square London SW3 4RB,10.0
OTUS CAPITAL MANAGEMENT LIMITED,04095762,ltd,19-10-2000,[66300],29 Queen Annes Gate London England SW1H 9BU,10.0
SWISS LIFE ASSET MANAGERS UK LIMITED,04846209,ltd,25-07-2003,[66300],55 Wells Street London England W1T 3PT,10.0
DRAKE HOWELL LIMITED,09244948,ltd,02-10-2014,"[66190, 66300]",The Old Farmhouse Paices Hill Reading England RG7 4PG,10.0
ALLSPRING GLOBAL INVESTMENTS (UK) LIMITED,03710963,ltd,10-02-1999,[66300],30 Cannon Street London United Kingdom EC4M 6XH,10.0
IGLOO REGENERATION (GENERAL PARTNER) LIMITED,04299836,ltd,05-10-2001,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,10.0
PICNIC INVESTMENT LIMITED,11459868,ltd,11-07-2018,"[64929,64999, 66300]",W106 Vox Studios Durham Street London England SE11 5JH,10.0
DWS INVESTMENTS UK LIMITED,05233891,ltd,16-09-2004,[66300],21 Moorfields London United Kingdom EC2Y 9DB,10.0
ARDIAN INVESTMENT UK LIMITED,05654928,ltd,15-12-2005,[66300],1 Grafton Street London W1S 4FE,10.0
NIPPON LIFE SCHRODERS ASSET MANAGEMENT EUROPE LIMITED,03709605,ltd,02-02-1999,[66300],1 London Wall Place London England EC2Y 5AU,10.0
GUINNESS ASSET MANAGEMENT LIMITED,04647882,ltd,27-01-2003,[66300],18 Smith Square London England SW1P 3HZ,10.0
FOREXBOND LTD,12615479,ltd,21-05-2020,"[64991,64999,66190, 66300]",128 City Road London United Kingdom EC1V 2NX,10.0
CONNING ASSET MANAGEMENT LIMITED,03654447,ltd,16-10-1998,[66300],24 Monument Street London EC3R 8AJ,10.0
COHEN & STEERS UK LIMITED,05861206,ltd,29-06-2006,[66300],The Burlian 3 Dering Street London England W1S 1AA,10.0
THREADNEEDLE INTERNATIONAL LIMITED,02283244,ltd,02-08-1988,[66300],Cannon Place London EC4N 6AG,10.0
CAL INVESTMENTS LIMITED,01488617,ltd,31-03-1980,[66300],"1st Floor,  Nicholas House London England EC4R 0EU",10.0
HEARTHSTONE ASSET MANAGEMENT LIMITED,07458920,ltd,02-12-2010,[66300],"Suite 2.06,  Bridge House 181 Queen Victoria Street London United Kingdom EC4V 4EG",10.0
ATOMOS INVESTMENTS LIMITED,02041819,ltd,29-07-1986,[66300],2nd Floor 5 Hatfields (Alto) London United Kingdom SE1 9PG,10.0
WREN INVESTMENT OFFICE LIMITED,10286208,ltd,19-07-2016,"[66300, 70221]",66 Lincoln's Inn Fields London United Kingdom WC2A 3LH,10.0
BREGAL (CUSTODY) LIMITED,04615819,ltd,12-12-2002,[66300],20 Air Street London England W1B 5AN,10.0
COMMANDER ASSET MANAGEMENT LIMITED,04301639,ltd,09-10-2001,[66300],2 St. Andrew's Hill London EC4V 5BY,10.0
ASPECT CAPITAL LIMITED,03491169,ltd,12-01-1998,[66300],10 Portman Square London W1H 6AZ,10.0
MAKOR PARTNERS LIMITED,07275915,ltd,07-06-2010,[66300],30 Panton Street London England SW1Y 4AJ,10.0
REDWOOD CAPITAL (EUROPE) LIMITED,03899931,ltd,21-12-1999,[66300],"3rd Floor,  Waverley House London United Kingdom W1F 8GQ",10.0
MKP CAPITAL UK LTD,07400336,ltd,07-10-2010,[66300],5 Hanover Square London England null,10.0
TWO RIVERS FINANCIAL PLANNING LIMITED,05298510,ltd,26-11-2004,"[66290, 66300]",33 Main Road Caldicot NP26 5SA,10.0
CIT FINANCIAL SERVICES LIMITED,03889608,ltd,07-12-1999,[66300],1st Floor 1 Red Place London England W1K 6PL,10.0
RHOMBUS PRIVATE CAPITAL LIMITED,04404988,ltd,27-03-2002,"[66120, 66300]",116 Silverdale Avenue Walton-On-Thames United Kingdom KT12 1EQ,10.0
COLLIERS CAPITAL HOLDINGS LIMITED,06430656,ltd,19-11-2007,[66300],95 Wigmore Street London England W1U 1FF,10.0
FINANCE EARTH LIMITED,12955180,ltd,15-10-2020,"[64304,64999,66300, 70229]",W106 Vox Studios 1-45 Durham Street London United Kingdom SE11 5JH,10.0
CHARLES TAYLOR INVESTMENT MANAGEMENT COMPANY LIMITED,02597752,ltd,27-03-1991,[66300],2 Minster Court London United Kingdom EC3R 7BB,10.0
AKO CAPITAL MANAGEMENT LIMITED,05411627,ltd,01-04-2005,[66300],One Newman Street London England W1T 1PB,10.0
BLUEBAY ASSET MANAGEMENT INTERNATIONAL LIMITED,05310624,ltd,10-12-2004,[66300],100 Bishopsgate London England EC2N 4AA,10.0
GMO U.K. LIMITED,04658801,ltd,06-02-2003,[66300],No. 1 London Bridge London SE1 9BG,10.0
BALBEC CAPITAL LIMITED,07123905,ltd,13-01-2010,[66300],1st Floor 3-4 London NW4 2EL,10.0
SAPPHIRE CAPITAL LTD,04675455,ltd,24-02-2003,"[62020, 66300]","47 Velsheda Court Hythe Marina Village Hythe,  Southampton United Kingdom SO45 6DW",10.0
HANDELSBANKEN WEALTH & ASSET MANAGEMENT LIMITED,04132340,ltd,29-12-2000,[66300],25 Basinghall Street London England EC2V 5HA,10.0
GALMERROW SECURITIES LIMITED,00934842,ltd,03-07-1968,"[66300, 68100]",2 Piries Place Horsham United Kingdom RH12 1EH,10.0
ASHMORE INVESTMENT MANAGEMENT LIMITED,03344281,ltd,03-04-1997,[66300],16 Palace Street London England SW1E 5JD,10.0
IWP INVESTMENT MANAGEMENT LIMITED,01812617,ltd,01-05-1984,[66300],101 Wigmore Street London United Kingdom W1U 1QU,10.0
OX GLOBAL INVESTMENTS LTD,06884280,ltd,22-04-2009,[66300],22a St James's Square London England SW1Y 4JH,10.0
DUKE STREET GENERAL PARTNER LIMITED,03565673,ltd,18-05-1998,[66300],"Third Floor (East),  Carrington House London England W1B 5SE",10.0
HARBOUR LITIGATION FUNDING LTD,06426478,ltd,14-11-2007,[66300],Suite 2a Princes House London England SW1Y 6DN,10.0
GORILLA TECH CAPITAL LIMITED,03564275,ltd,14-05-1998,[66300],64 North Row London England W1K 7DA,10.0
FUTURE VALUE LIMITED,07433597,ltd,09-11-2010,[66300],167-169 Great Portland Street London England W1W 5PF,10.0
MANOR PARK CARE LIMITED,04681146,ltd,27-02-2003,[66300],Pyramid House London England N12 9RT,10.0
INNISFREE COINVESTMENTS LIMITED,05118369,ltd,04-05-2004,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE LIMITED,03039792,ltd,30-03-1995,[66300],"First Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE RESOURCES LIMITED,03817389,ltd,30-07-1999,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE SECONDARY SLP LIMITED,06223514,ltd,23-04-2007,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE IMPPP 1 LIMITED,04386611,ltd,04-03-2002,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE CONTINUATION PARTNERS (MEMBER) LIMITED,03552874,ltd,24-04-1998,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
INNISFREE CONTINUATION SLP LIMITED,05623327,ltd,15-11-2005,[66300],"1st Floor,  Boundary House London England EC1M 6HR",10.0
INNISFREE EXGP SECONDARY LIMITED,06243650,ltd,10-05-2007,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",10.0
POLAR CAPITAL SECRETARIAL SERVICES LIMITED,04138229,ltd,10-01-2001,[66300],16 Palace Street London SW1E 5JD,10.0
JAGUAR INVESTMENTS LIMITED,04401454,ltd,22-03-2002,[66300],71 Queen Victoria Street London England EC4V 4BE,10.0
TURFMOOR CONSULTING LTD,11257260,ltd,15-03-2018,"[64999,66120,66220, 66300]",6 Richmond Mansions East Twickenham England TW1 2HH,10.0
IFM INVESTORS (UK) LTD,05857982,ltd,26-06-2006,[66300],2 London Wall Place London England EC2Y 5AU,10.0
IFDC LIMITED,01746367,ltd,16-08-1983,[66300],33 Cavendish Square London England W1G 0PW,10.0
NUVEEN INVESTMENT MANAGEMENT INTERNATIONAL LIMITED,02137726,ltd,04-06-1987,[66300],9th Floor 201 London EC2M 3BN,10.0
EFES CONSULTING UK LTD,13087903,ltd,17-12-2020,"[66300,70221,70229, 85590]",Britannia House London England W6 0LH,10.0
E.D. CHAPMAN LIMITED,00712109,ltd,03-01-1962,"[66300, 68100]",61 Bridge Street Kington United Kingdom HR5 3DJ,10.0
D'ORSA CAPITAL LIMITED,07183440,ltd,09-03-2010,[66300],4th Floor Fitzrovia House London W1T 6QW,10.0
LANSDOWNE PARTNERS LIMITED,03514088,ltd,20-02-1998,[66300],65 Curzon Street London England W1J 8PE,10.0
CENKOS FUND MANAGEMENT LIMITED,06181222,ltd,23-03-2007,[66300],1 Bartholomew Close London England EC1A 7BL,10.0
MUSSARD & CO. WEALTH MANAGEMENT LIMITED,07203602,ltd,25-03-2010,[66300],Turnpike House 1208-1210 London Road Leigh-On-Sea SS9 2UA,10.0
BROMPTON PARTNERS LIMITED,07184850,ltd,10-03-2010,[66300],1 Knightsbridge Green London SW1X 7QA,10.0
ABRAXAS CAPITAL MANAGEMENT LIMITED,04519371,ltd,27-08-2002,[66300],4th Floor 399-401 Strand London United Kingdom WC2R 0LT,10.0
ROOT CAPITAL (FOUNDER PARTNER) LIMITED,04762967,ltd,13-05-2003,[66300],44 Catherine Place London England SW1E 6HL,10.0
ALANGO EVENTS CONSULTING INTERNATIONAL LTD,11716122,ltd,06-12-2018,"[62020,64999,66300, 70229]",2nd Floor College House Ruislip United Kingdom HA4 7AE,10.0
BELGRAVE CAPITAL MANAGEMENT LIMITED,03105821,ltd,22-09-1995,[66300],85 Great Portland Street London United Kingdom W1W 7LT,10.0
GESTORIA LIMITED,07953766,ltd,17-02-2012,"[64209, 66300]",7-8 Ritz Parade London W5 3RA,10.0
EXCLUSIVE CAPITAL PARTNERS GLOBAL LIMITED,12507585,ltd,10-03-2020,"[46190,46720,64999, 66300]",7 Bell Yard London United Kingdom WC2A 2JR,10.0
J SAINSBURY COMMON INVESTMENT FUND LIMITED,02789936,ltd,15-02-1993,[66300],33 Charterhouse Street London England EC1M 6HA,10.0
NEWTON MANAGEMENT LIMITED,02769904,ltd,02-12-1992,[66300],160 Queen Victoria Street London England EC4V 4LA,10.0
STEPHEN GRUNDY LIMITED,07384282,ltd,22-09-2010,"[66300, 68320]",Towngate House 2-8 Parkstone Road Poole BH15 2PW,10.0
GOLDFIELDS VAULTX LTD,12739243,ltd,13-07-2020,"[64301,66190,66300, 70221]",128 City Road London United Kingdom EC1V 2NX,10.0
PRINCIPAL REAL ESTATE EUROPE LIMITED,06434632,ltd,22-11-2007,[66300],1 Wood Street London United Kingdom EC2V 7JB,10.0
MACKENZIE TAYLOR WEALTH MANAGEMENT LTD.,SC313079,ltd,06-12-2006,"[66220, 66300]",53 Culduthel Mains Gardens Inverness Scotland IV2 6RD,10.0
CHIKARA INVESTMENT SERVICES LIMITED,05396509,ltd,17-03-2005,[66300],5-10 Bolton Street London United Kingdom W1J 8BA,10.0
EXXONMOBIL PENSION TRUST LIMITED,00371341,ltd,18-12-1941,"[65300, 66300]",Fawley Administration Building Fawley Refinery Fawley United Kingdom SO45 1TX,10.0
FALCON MONEY MANAGEMENT UK LIMITED,06726423,ltd,17-10-2008,[66300],Elementa Workspace London United Kingdom W1G 0PW,10.0
DAIWA ASSET MANAGEMENT (EUROPE) LTD,02045607,ltd,11-08-1986,[66300],62-64 Cornhill London England EC3V 3NH,10.0
CBH WEALTH UK LIMITED,07013856,ltd,09-09-2009,[66300],One Fleet Place London EC4M 7WS,10.0
ALBERON SERVICES LIMITED,02802006,ltd,22-03-1993,[66300],Chancellors House 3 Brampton Lane London England NW4 4AB,10.0
EATON VANCE MANAGEMENT (INTERNATIONAL) LIMITED,04228294,ltd,04-06-2001,[66300],125 Old Broad Street London EC2N 1AR,10.0
CORPORATION ONE LTD,06889334,ltd,28-04-2009,[66300],29 Langland Gardens London England NW3 6QE,10.0
RUGBY RADIO STATION (GENERAL PARTNER) LIMITED,04944892,ltd,27-10-2003,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,10.0
AMUNDI (UK) LIMITED,01753527,ltd,16-09-1983,[66300],77 Coleman Street London United Kingdom EC2R 5BJ,10.0
PEDIMENT CAPITAL PARTNERS LIMITED,11527558,ltd,20-08-2018,"[66300,68209, 82990]",11 Conduit Mews London England W2 3RE,10.0
SILK INVEST LIMITED,06603042,ltd,27-05-2008,[66300],30 Churchill Place London England E14 5RE,10.0
FOUNDATION PROPERTY COMPANY LIMITED,01930587,ltd,15-07-1985,[66300],101 New Cavendish Street London United Kingdom W1W 6XH,10.0
